,nome_logradouro_residencia,quantidade
174,RUA PROF JOSE AMARINO DOS REIS,6
175,RUA TOTA VENTURA,6
176,RUA URIEL DE HOLANDA,6
177,RUA RIO MOXOTO,6
178,AVENIDA MAURICIO DE NASSAU,6
179,RUA DO CAMPO,6
180,RUA OITO,6
181,RUA FRANCISCO BELTRAO,6
182,RUA SUBIDA DO MERERE,6
183,RUA SIMPERE,6
184,RUA ARAGUAIA,6
185,RUA SANTA MARIA,6
186,RUA RAIMUNDO FREIXEIRAS,6
187,AVENIDA DA RECUPERAÃ?O,6
188,RUA GUARATIBA,6
189,RUA FERNANDINHO,6
190,RUA BONIFACIO DE ANDRADE,6
191,RUA POETA MARIO DE ALENCAR,6
192,RUA RIO CAPIBARIBE,6
193,RUA GENERAL CANDIDO BORGES CASTELO BRANCO,6
194,RUA MORAIS E SILVA,6
195,RUA NOVA DESCOBERTA,6
196,RUA VILA FLOR,6
197,RUA GUERRA JUNQUEIRA,5
198,RUA CARLOS DE BRITO,5
199,RUA ERNESTO CAVALCANTE,5
200,RUA DEMOCRITO DE SOUZA FILHO,5
201,RUA LINO JORDAO,5
202,RUA AMAMBI,5
203,RUA VENCEDORA,5
204,RUA ITAPOLIS,5
205,RUA MEDINA,5
206,RUA SAO MATEUS,5
207,RUA CORREGO DO DEODATO,5
208,RUA ALEXANDRITA,5
209,RUA CORONEL MARIO LIBORIO,5
210,RUA RIO PARAGUACU,5
211,AV MANOEL GONCALVES DA LUZ,5
212,AV SANTAREM,5
213,RUA MARQUES DE BAIPENDI,5
214,RUA JORDANIA,5
215,RUA DOZE DE OUTUBRO,5
216,RUA JACA?NA,5
217,RUA CORDISLANDIA,5
218,RUA DR VALDIR PESSOA,5
219,RUA IPOJUCA,5
220,RUA BARAO DE CAPIBARIBE,5
221,RUA ITAPIREMA,5
222,RUA BELO JARDIM,5
223,AVENIDA CAXANGA,5
224,RUA ALMIRANTE NORONHA,5
225,RUA QUARENTA E OITO,5
226,RUA TANCREDO NEVES,5
227,RUA ARNALDO BASTOS,5
228,RUA SANTO ANTONIO,5
229,RUA TURIACU,5
230,RUA ALTO DO GUILHERMINO,5
231,RUA JOAO CORREIA FILHO,5
232,RUA REGINA,5
233,RUA GALENA,5
