,nome_logradouro_residencia,quantidade
742,AV. MUSTARDINHA,3
743,RUA JOANA FRANCISCA DE AZEVEDO,3
744,RUA CARNEIRO PESSOA,3
745,RUA PETRONILA DE QUEIROZ CAMPOS,3
746,RUA CORDISL?NDIA,3
747,RUA CORONEL LIMA BOTELHO,3
748,ROUXINOL,3
749,RUA FEL?CIO DOS SANTOS,3
750,RUA JOVEM JOAO SANTOS NETO,3
751,RUA TAGUATINGA,3
752,RUA DANCING DAYS,3
753,RUA ANTONIO VALDEVINO DA COSTA,3
754,RUA ONZE,3
755,RUA DOUTOR BENIGNO JORDAO,3
756,RUA DAS PERNAMBUCANAS,3
757,RUA ESCADA,3
758,RUA DOUTOR MACHADO,3
759,RUA MAESTRO JONES JOHNSON,3
760,RUA ADALBERTO ELIAS DA COSTA,3
761,RUA DOUTOR DUSTAN DE CARVALHO SOARES,3
762,RUA XEXEU,3
763,RUA TIGUASSU,3
764,RUA ALBATROZ,3
765,RUA DESP VALDIR SANTANA,3
766,RUA LUIZ AUGUSTO RABELO,3
767,RUA GREGORIO JUNIOR,3
768,RUA CONSELHEIRO NABUCO,3
769,RUA GURUPI,3
770,RUA PAJUSSARA,3
771,RUA EMILIO MACIEL,3
772,RUA BEZERRA DA PALMA,3
773,AVENIDA BOA VIAGEM,3
774,RUA PROF PEDRO AUGUSTO CARNEIRO LEAO,3
775,RUA CLARICE LISPECTOR,3
776,RUA DR. ELIAS GOMES,3
777,RUA JOSE GOMES DE MOURA,3
778,DOUTOR ANTONIO HERMENEGILDO DE CASTRO NETO,3
779,RUA DOM HELDER CAMARA,3
780,RUA RAMIZ GALVAO,3
781,RUA MOSSORO,3
782,RUA BRASILIA,3
783,RUA CUSTODIA,3
784,RUA IBIRAJUBA,3
785,RUA EXPEDICIONARIO EURIDES FERNANDES,3
786,ESTRADA DE BELEM,3
787,RUA DOUTOR VILAS BOA,3
788,RUA WALDEMIR TELLES,3
789,RUA AVELAR,3
790,AV. PROFESSOR JOSE DOS ANJOS,3
791,POLONI,3
792,RUA CABO,3
793,RUA VISCONDE DO URUGUAI,3
794,RUA QUERENCIA DO NORTE,3
795,RUA MANDARI,3
796,AVENIDA MAUR?CIO DE NASSAU,3
797,RUA PARAIBA,3
798,RUA AREIA BRANCA,3
799,RUA BONITO DE SANTA FE,3
800,RUA CASTRO ALVES,3
801,RUA CARLOS GOMES,3
802,RUA ORLANDO DIAS,3
803,RUA SANTA ROSA DE LIMA,3
804,R BELO ORIENTE,3
805,AV. ENGENHEIRO ABDIAS DE CARVALHO,3
806,RUA IRMA ANA BRIGIDA,3
807,AV ENGENHEIRO ABDIAS DE CARVALHO,3
808,RUA BARRA DO JARDIM,3
809,RUA AZEVEDO CRUZ,3
810,AV CAMPINA GRANDE,3
811,RUA 3 LAGOAS,3
812,ITAPIRANGA,3
813,RUA DO JASMIM,2
814,ESTRADA DO ENCANAMENTO,2
815,FRANCISCO LEOPOLDINO,2
816,AVENIDA 30 DE OUTUBRO,2
817,RUA ALTO BONITO,2
818,RUA RIO JIQUI?,2
819,RUA PARA?SO DO LESTE,2
820,RUA MORRO DA CONCEICAO,2
821,RUA ITAPEMIRIM,2
822,AV TENENTE MINDELO,2
823,TRAVESSA DALVA DE OLIVEIRA,2
824,RUA SABINO DE SOUZA CASTRO,2
825,RUA PIAUI,2
826,RUA CASA BRANCA,2
827,RUA COMPOSITOR JOAO VALENCA,2
828,RUA MARIA ESTEVAO,2
829,RUA DR. CORREIA DA SILVA,2
830,RUA DA CUTIA,2
831,RUA CRAIBAS,2
832,RUA JORGE DE LIMA,2
833,RUA TAPAJOS,2
834,RUA NILOPOLIS,2
835,RUA TORRES GALVAO,2
836,RUA ALMIRANTE JOAO PASCOE,2
837,AV. MANOEL GONÃALVES DA LUZ,2
838,RUA HENRIQUE MILET,2
839,RUA SERRA NEGRA,2
840,RUA SEVERINO GALDINO DE OLIVEIRA,2
841,AVENIDA MANOEL LOPES,2
842,RUA ANTONIO CARDOSO,2
843,RUA S?O PAULO,2
844,RUA ARAPIXUMA,2
845,RUA DAS BARREIRAS,2
846,AV GENERAL SAN MARTIN,2
847,RUA LARGA DO FEITOSA,2
848,RUA CINCO,2
849,RUA PERO VAZ DE CAMINHA,2
850,RUA ALTO ERVAL,2
851,RUA ENCANTA MOCA,2
852,RUA UTINGA,2
853,RUA PROFESSOR HENRIQUE DE LUCENA,2
854,RUA JOSE DE ALENCAR,2
855,RUA ALFEU BOA VENTURA,2
856,SANTANA DA MANGUEIRA,2
857,RUA DA REGENERAÃAO,2
858,R DR GUSMAO,2
859,RUA NOVA REPUBLICA,2
860,AV JUSTICA E PAZ,2
861,RUA BILAC,2
862,RUA G,2
863,RUA CLODOMIRO SELVA,2
864,AV NOSSA SENHORA APARECIDA,2
865,BONITO DE SANTA FE,2
866,RUA 15 DE NOVEMBRO,2
867,RUA MARIA EMILIA,2
868,RUA ABAIABA,2
869,RUA TULA FREIRE DE SOUZA,2
870,RUA QUIMICO ALFEU RABELO,2
871,RUA ADELIA ALVES,2
872,RUA MONTE DAS TABOCAS,2
873,RUA ALTO SANTA LUZIA,2
874,RUA BARRA GRANDE,2
875,RUA NOSSO CHAO,2
876,RUA NOVA AMERICA,2
877,RUA COUTO MAGALHAES,2
878,RUA COMP RAUL VALENCA,2
879,RUA CORONEL BENEDITO CHAVES,2
880,RUA PACAJUS,2
881,RUA DO RIO SAO FRANCISCO,2
882,RUA ENGENHEIRO ANDRE DIAS DE ARRUDA FALCAO,2
883,RUA DO AMPARO,2
884,RUA ESCRITOR ALVARO LINS,2
885,RUA PEREIRA BARRETO,2
886,RUA DOIS DE JANEIRO,2
887,RUA PALMIRANTE,2
888,RUA ANTONIO,2
889,RUA MONSENHOR FABR?CIO,2
890,RUA MANAQUIRI,2
891,RUA QUEIRA DEUS,2
892,AV JORNALISTA COSTA,2
893,RUA ITAI,2
894,S?O VICENTE DE PAULA,2
895,RUA BRAGANCA,2
896,RUA 17,2
897,AVENIDA GENERAL SAN MARTIN,2
898,RUA DOS COCAIS,2
899,RUA SERRANIA,2
900,RUA HELIO BRANDAO,2
901,RUA JOSE PELEGRINO,2
902,RUA GRACILIANO CARDOSO,2
903,RUA CANTOR CARLOS ALEXANDRE,2
904,RUA ESTRADA DO CURADO,2
905,RUA PIASSABUSSU,2
906,RUA VICENTE AMORIM,2
907,RUA DA CUCA,2
908,RUA DR INOCENCIO FILHO,2
909,RUA MARIA AUGUSTA VILA CHAN,2
910,RUA ALTO DO EUCALIPTO,2
911,RUA NAVEGANTES,2
912,RUA DELFIM,2
913,RUA UIRAUNA,2
914,RUA SALINAS,2
915,RUA PEDRO ALVARES CABRAL,2
916,CORREGO DO ABDIAS,2
917,RUA ESTRELA DO MAR,2
918,RUA EPAMINONDAS CRISTOVAO DE OLIVEIRA,2
919,RUA AMARO BEZERRA,2
920,RUA GERVASIO CAMPELO,2
921,RUA VER NIVALDO CAVALCANTI,2
922,RUA BELA VISTA,2
923,RUA TACIBA,2
924,RUA SEVERINO LUIZ DE FRANCA,2
925,RUA DELFIM MOREIRA,2
926,RUA URUBA,2
927,RUA BENVENUTO CELINI,2
928,AVENIDA DO FORTE,2
929,RUA GALILEIA,2
930,AVENIDA SANTA FE,2
931,RUA UMUARAMA,2
932,BAR?O DE BONITO,2
933,RUA TOM? DIAS,2
934,RUA EDVALDO DE OLIVEIRA,2
935,RUA ALEXANDRE DE CARVALHO,2
936,RUA DO PATROCINIO,2
937,RUA MINEIROLANDIA,2
938,RUA SARGENTO JOAO LOPES FILHO,2
939,RUA DESENHISTA EULINO SANTOS,2
940,PRAÃA CAXANG?,2
941,RUA LENINE DANTAS DE CALDA,2
942,RUA CORREGO MANOEL CARROCEIRO,2
943,RUA DR. CORREIA DE ARAUJO,2
944,RUA VALPARAISO,2
945,RUA DANIEL LISBOA,2
946,RUA FRIBURGO,2
947,RUA CORIPOS,2
948,RUA HUGO CARNEIRO,2
949,RUA HUGO NAPOLEAO,2
950,RUA DO COLEGIO,2
951,RUA CORREGO DO EUCLIDES,2
952,AV BEIRA RIO,2
953,RUA JOS? TAVARES DE HOLANDA,2
954,RUA MARGARIDA ALVES,2
955,RUA JACI,2
956,RUA CEL MARIO LIBORIO,2
957,RUA CURRUPI,2
958,RUA INACIO MONTEIRO,2
959,RUA ANA,2
960,RUA CARATINGA,2
961,RUA SANTANA DE MANGUEIRA,2
962,LEAL DE BARROS,2
963,RUA SALVADOR DE SA,2
964,RUA RIO GURUPI,2
965,RUA COMPOSITOR S?RGIO LISBOA,2
966,RUA CACULE,2
967,RUA EXP. TEODORO SATIVA,2
968,RUA GENERAL AMERICANO FREIRE,2
969,RUA FARROUPILHA,2
970,RUA POÃAO,2
971,AV POETA VINICIUS DE MORAES,2
972,AVENIDA RIO LARGO,2
973,RUA LADEIRA DO SAPOTI,2
974,R MARIA JABOATAO,2
975,RUA DR ALBERTO WANDERLEY,2
976,RUA PESSEGUEIROS,2
977,RUA SEBASTIAO GRANDE,2
978,RUA MANACAPURU,2
979,AVENIDA PARNAMIRIM,2
980,AV HILDEBRANDO VASCONCELOS,2
981,RUA PALESTINA,2
982,RUA C?LIA,2
983,RUA CENTENARIO DA ABOLICAO,2
984,RUA JO?O CORREIA FILHO,2
985,RUA NOROESTE,2
986,NOVO ACORDO,2
987,RUA PEDRO MELO,2
988,RUA JAPARANA,2
989,TRAVESSA DOIS DE FEVEREIRO,2
990,RUA CAPIT?O JO?O ROMA,2
991,RUA PORTO ESTRELA,2
992,RUA BARAO DE GRAJAU,2
993,RUA MANOEL ANTONIO FERREIRA,2
994,RUA ABC,2
995,RUA EDUARDO MENDES,2
996,RUA FORMOSA,2
997,RUA EDUCADORA MARIA JOSE GUIMARAES,2
998,RUA JOAO MARQUES DOS ANJOS,2
999,RUA VALE DO ITAJAI,2
1000,RUA JEQUITIBA,2
1001,RUA SEBASTIAO CHAVES,2
1002,RUA RIO DAS PEDRAS,2
1003,RUA JOAO RIO BRANCO,2
1004,RUA EUGENOPOLIS,2
1005,RUA ETAPAS,2
1006,RUA JACOB,2
1007,RUA PAULO GONÃALVES,2
1008,RUA PEDRO RODRIGUES,2
1009,AV IZABEL DE GOES,2
1010,RUA CAPY,2
1011,RUA ANGRA DOS REIS,2
1012,RUA FREI AMADOR,2
1013,RUA IBIRAPUA,2
1014,RUA PARAISO,2
1015,RUA SA E SOUZA,2
1016,RUA POETA ZEZITO NEVES,2
1017,RUA CENTRAL,2
1018,RUA DESEMBARGADOR OSCAR COUTINHO,2
1019,RUA DOUTOR CESAR MONTEZUMA,2
1020,RUA PROFESSOR OT?VIO TAVARES,2
1021,RUA PEREIRA COUTINHO,2
1022,RUA PIO MUNIZ,2
1023,RUA DOUTOR GAST?O DA SILVEIRA,2
1024,RUA CRUSCILANDIA,2
1025,RUA IBIRANGA,2
1026,RUA ALTO DA BRASILEIRA,2
1027,RUA AURELIANO LEAL,2
1028,RUA IMACULADA,2
1029,RUA PROF HENRIQUE DE LUCENA,2
1030,RUA CORREGO DO FERNANDINHO,2
1031,SERRA NOVA,2
1032,RUA ANDRE VIEIRA DE MELO,2
1033,RUA 4 TRAVESSA DO TADEU,2
1034,RUA AGUA CLARA,2
1035,BAR?O DE MURIBECA,2
1036,JOAO BENTO BATISTA,2
1037,RUA GUINE BISSAL,2
1038,RUA VERTENTE DOS LIRIOS,2
1039,PRIMEIRA TRV DA RUA LAZARO FONTES,2
1040,RUA PROFESSOR RUTILHO,2
1041,RUA BRAZ PIRES,2
1042,RIO CAPIBARIBE,2
1043,R SEIS DE MARCO,2
1044,RUA GEN?SIO TEËFILO BEZERRA FILHO,2
1045,RUA ARGINA AGUIAR,2
1046,RUA JOSE AUSTRAGESILO,2
1047,RUA PINHAL,2
1048,AVENIDA CONSELHEIRO ROSA E SILVA,2
1049,RUA CAETES,2
1050,RUA MONTE PASCOAL,2
1051,RUA ERNESTO DE PAULA SANTOS,2
1052,AV MATO GROSSO,2
1053,RUA CESAR MONTEZUMA,2
1054,RUA TANGUARA,2
1055,RUA ALTO DA BICA,2
1056,RUA SANTA LUZIA,2
1057,RUA RAMIZ GALV?O,2
1058,RUA PELËPIDAS ARROUXELAS GALV?O,2
1059,RUA ROSARIO,2
1060,AV GOVERNADOR ROBERTO SILVEIRA,2
1061,RUA NATURALISTA AUGUSTO,2
1062,RUA RIO SANHAUA,2
1063,RUA JOAO CAVALCANTI PETRIBU,2
1064,RUA FAZENDA NOVA,2
1065,RUA CAMPO DA VOVOZINHA,2
1066,RUA CEL ALFREDO DUARTE,2
1067,RUA GUARULHOS,2
1068,RUA JACINTO MACHADO,2
1069,RUA ALTO ERVAL NOVO,2
1070,RUA MINHA DEUSA,2
1071,RUA PROFESSOR FERNANDO,2
1072,RUA FRANCISCO XAVIER,2
1073,RUA JATAUBA,2
1074,RUA JOS? ANTONIO DA COSTA FILHO,2
1075,RUA MANFREDO BORSTELMANN,2
1076,RUA BARAO DO CAPIBARIBE,2
1077,RUA SERRA DA CANASTRA,2
1078,RUA FARIAS NEVES,2
1079,RUA EDSON FILHO,2
1080,R BEATRIZ,2
1081,RUA VISCONDE DE BARBACENA,2
1082,RUA HONORIO CORREIA,2
1083,RUA COELHO NETO,2
1084,RUA ARACATIBA,2
1085,RUA JULIO DE CASTILHO,2
1086,RUA ITALIA,2
1087,RUA PROFESSOR FERNANDO MOTA,2
1088,R LAURO DE SOUZA,2
1089,RUA BOLIVAR,2
1090,AV INACIO MONTEIRO,2
1091,RUA CAMPO DA UNIAO,2
1092,RUA PROF ANTONIO LUIZ LINS DE BARROS,2
1093,RUA JOAO XAVIER PEDROSA,2
1094,RUA BUGRE,2
1095,RUA DA CONSTANCIA,2
1096,AVENIDA TRINTA DE OUTUBRO,2
1097,VILA SAO MIGUEL,2
1098,RUA PICO DA BANDEIRA,2
1099,RUA FERNANDO DE NORONHA,2
1100,RUA CORONEL MIZAEL DE MENDONÃA,2
1101,RUA DEZOITO DE DEZEMBRO,2
1102,RUA PEDRO BATISTA,2
1103,AVENIDA HELIO FALCAO,2
1104,RUA PROF JOSE DOS ANJOS,2
1105,RUA CAMPOS NOVOS,2
1106,RUA PARA,2
1107,RUA DO NARIZINHO,2
1108,TRAVESSA GUARACIABA,2
1109,RUA PAULA BATISTA,2
1110,RUA MARACANANZINHO,2
1111,RUA DA ESPERANCA,2
1112,RUA XAVANTES,2
1113,RUA IRAPUA,2
1114,RUA GARIBALDINA,2
1115,RUA DOUTOR ANDRADE LYRA,2
1116,RUA ALTO PARANAIBA,2
1117,RUA GOIANIA,2
1118,RUA JOS? PEREGRINO,2
1119,RUA MARECHAL BITTENCORT,2
1120,RUA DOUTOR GONZAGA MARANHAO,2
1121,RUA JOAO PAULO II,2
1122,RUA FREI DAMIAO,2
1123,RUA JAPONI,2
1124,RUA JOS? DE HOLANDA,2
1125,RUA TI?MA,2
1126,RUA ESCOLA DE SAGRES,2
1127,RUA MANOEL SALVADOR,2
1128,RUA MOZANT SIQUEIRA,2
1129,RUA JACUNDA,2
1130,FIRMINO DE BARROS,2
1131,RUA DIVINOLANDIA,2
1132,RUA AMAZONAS,2
1133,TRAVESSA MASSARANDUBA,2
1134,RUA CAMPONESA,2
1135,AV CHAGAS FERREIRA,2
1136,RUA AZEREDO COUTINHO,2
1137,RUA ALTO DA BELA VISTA,2
1138,RUA TABELIAO JOAO ROMA,2
1139,FELICIDADE,2
1140,RUA IZABEL DE SOUZA,2
1141,RUA SIBAUNA,2
1142,RUA ATLANTICO,2
1143,RUA MACAIBA,2
1144,RUA PRESIDENTE KENEDY,2
1145,RUA DOUTOR JOSE RAMOS DE VASCONCELOS,2
1146,RUA ZENOBIO LINS CORDEIRO,2
1147,RUA FLORES DA CUNHA,2
1148,RUA SANTA LEOPOLDINA,2
1149,RUA JOSELIA,2
1150,RUA BALSAMO,2
1151,RUA JOSE ALVES DO NASCIMENTO,2
1152,AVENIDA SEBASTIAO SALAZAR,2
1153,RUA ENG AG MOACIR PARAIBA,2
1154,AV DONA CARENTINA,2
1155,RUA B?RBARA DE ALENCAR,2
1156,R DOS CRAVEIROS,2
1157,RUA MANOEL BUFFONE,2
1158,RUA ERNESTO CAVALCANTI,2
1159,RESIDENCIAL JACAREZINHO,2
1160,AV. MIGUEL ARRAES DE ALENCAR,2
1161,RUA MIRANDIBA,2
1162,RUA PROJETADA,2
1163,RUA ERUNDINA NEGREIROS DE ARAUJO,2
1164,RUA DR ARTUR NEVES,2
1165,RUA ALTO JARDIM PROGRESSO,2
1166,RUA CARLOS PENA FILHO,2
1167,RUA MESTRE VITALINO,2
1168,RUA CAMBUI,2
1169,MOACIR CARDOSO,2
1170,RUA PEDRO DA COCADA,2
1171,RUA VISCONDE DE GOIANA,2
1172,RUA MURICI,2
1173,RUA PARATIBE,2
1174,RUA SERRA CAIADA,2
1175,RUA SOLIMOES,2
1176,RUA ARES,2
1177,RUA MANCIO LIMA,2
1178,RUA CORREGO SAO JOSE,2
1179,RUA DR. DUSTAN DE CARVALHO SOARES,2
1180,RUA CASSIANO LEITE,2
1181,RUA RIBEIROPOLIS,2
1182,RUA JORNALISTA SAULO FREIRE,2
1183,RUA ARISTOTELES AMORIM,2
1184,RUA ZILDA S. DE SANTANA,2
1185,RUA AZULADO,2
1186,R PAULA BATISTA,2
1187,RUA BAHIA,2
1188,RUA MUCURI,2
1189,RUA ALFREDO GAMA,2
1190,RUA ELISIO MEDRADO,2
1191,RUA PATROC?NIO,2
1192,RUA JORNALISTA ALTAMIRO CUNHA,2
1193,RUA MAJOR GODOFREDO LUIZ PEREIRA DE LIMA,2
1194,RUA BULGARIA,2
1195,RUA CORREGO DO INACIO,2
1196,R SALVADOR DE SA,2
1197,RUA CONSELHEIRO FURTADO,2
1198,RUA FAUSTO CARDOSO,2
1199,RUA BAR?O DE MURIBECA,2
1200,RUA GUARAPUARA,2
1201,RUA HILDEBRANDO DE VASCONCELOS,2
1202,RUA BULANDY,2
1203,RUA HOLMES FONTES,2
1204,RUA RIO PRADO,2
1205,RUA BAIXA JOSE RIBEIRO,2
1206,AVENIDA AFONSO OLINDENSE,2
1207,RUA ISAAC BURIL,2
1208,RUA MENEZES DRUMOND,2
1209,AV SANTOS DUMONT,2
1210,RUA DAS CONTAS,2
1211,RUA PROFESSOR JULIO DE OLIVEIRA,2
1212,RUA TOCATINS,2
1213,RUA TORRE HOMEM,2
1214,AV AFONSO OLINDENSE,2
1215,R DORANDIA,2
1216,RUA JABORANDI,2
1217,RUA PUXINAN?,2
1218,AV HELIO FALCAO,2
1219,RUA TAMB?,2
1220,RUA PROFESSOR JULIO FERREIRA DE MELO,2
1221,RUA LU?S DA C?MARA CASCUDO,2
1222,RUA BARAO DE GRANITO,2
1223,RUA RIO DOCE,2
1224,REAL DA TORRE,2
1225,RUA CAPITAO ANTONIO,2
1226,RUA NATALIA,2
1227,RUA MAMORE,2
1228,RUA ANTONIO DIAS ADORNO,2
1229,RUA DORANDIA,2
1230,RUA GUAPË,2
1231,RUA FELIPE GUERRA,2
1232,RUA ENEAS DE OLIVEIRA,2
1233,RUA PITA,2
1234,RUA MURITIBA,2
1235,AVENIDA VISCONDE DE JEQUITINHONHA,2
1236,RUA MARACATU,2
1237,R XAVANTES,2
1238,RUA ELP?DIO BRANCO,2
1239,RUA NAZARE DA MATA,2
1240,ESTEVAO DE SA,2
1241,RUA ZEFERINO SALES,2
1242,RUA DR ARISTACHO DOURADO DE AZEVEDO,2
1243,RUA DESEMBARGADOR PAULO ANDRE,2
1244,RUA MONSENHOR TABOSA,2
1245,RUA TEIXEIRA,2
1246,RUA ALVARES FLORENCIO,2
1247,RUA TEIXEIRA COIMBRA,2
1248,RUA DA AMIZADE,2
1249,RUA EXPEDICION?RIO ALCEB?ADES DA CUNHA,2
1250,RUA CABO JOSE DA CONCEICAO,2
1251,RUA CHICHORRO DA GAMA,2
1252,RUA PADRE ANCHIETA,2
1253,RUA POMPEIA,2
1254,RUA MONTE DAS OLIVEIRAS,2
1255,R VISCONDE DE TAUNAY,2
1256,RUA CIENTISTA NELSON CHAVES,2
1257,RUA SARAMANDAIA,2
1258,SAO MATEUS,2
1259,RUA PADRE VIEIRA DE MELO,2
1260,RUA IGARAPEBA,2
1261,AV. LUXEMBURGO,2
1262,RUA MANICORE,2
1263,RUA MANOEL VIEIRA,2
1264,RUA DA BACIA,2
1265,RUA ALTINHO,2
1266,RUA ISAAC MARKMAN,2
1267,RUA MONTEIRO LOBATO,2
1268,3¬ TRAVESSA CAMBURIL,2
1269,RUA PADRE ANTÈNIO LAGRECA,2
1270,RUA MARSELHA,2
1271,RUA DOUTOR ANTONIO HERMENEGILDO DE CASTRO NETO,2
1272,RUA ABDIAS DE OLIVEIRA,2
1273,AV VEREADOR OTACILIO AZEVEDO,2
1274,RUA MOACIR CARDOSO,2
1275,MARQUES DE QUELUZ,2
1276,RUA SILVIA RABELO,2
1277,RUA FAGUNDES VARELA,2
1278,RUA COPACABANA,2
1279,RUA MARECHAL BITENCOURT,2
1280,RUA DOM JOAO MOURA,2
1281,RUA CARMEM,2
1282,RUA BRAUNAS,2
1283,RUA ITABAIANA,2
1284,RUA JADER DE PONTES JARDIM,2
1285,RUA DESEMBARGADOR DIRCEU BORGES,2
1286,AV SAPUCAIA,2
1287,RUA LEONCIO RODRIGUES,2
1288,RUA DR SEBASTIAO DE SOUZA,2
1289,RUA MARUMBI,2
1290,RUA EXPEDICION?RIO EURIDES FERNANDES,2
1291,RUA MACA?,2
1292,RUA RIACHAO,2
1293,RUA ALVARES FLORENCE,2
1294,RUA CAMET?,2
1295,RUA MATA GRANDE,2
1296,RUA EGAS MUNIZ,2
1297,RUA TODOS OS SANTOS,2
1298,NAO INFORMADO,2
1299,RUA VEREADOR RUBENS GAMBOA,2
1300,RUA SAO LUIS,2
1301,RUA S?O MARCOS,2
1302,RUA DO FONSECA,2
1303,RUA GUERRA DOS MASCATES,2
1304,RUA AGENOR LOPES,2
1305,RUA GREGORIO BEZERRA,2
1306,RUA TRES LAGOAS,2
1307,RUA PADRE SEVERINO SANTIAGO,2
1308,RUA ANA CARNEIRO D ALBUQUERQUE,2
1309,AV PARNAMIRIM,2
1310,RUA DR LOURENO,2
1311,RUA DEP PEDRO VELHO,2
1312,RUA PAU-D'ALHO,2
1313,RUA PROFESSOR MARIO NEVES,2
1314,RUA BARAO DE ALAGOAS,2
1315,RUA TACIMA,2
1316,RUA SANTA MARIA GORETE,2
1317,RUA DOUTOR MOACIR SALES,2
1318,RUA RUI DUARTE,2
1319,MARIO CAMPELO,2
1320,RUA MALMEQUER,2
1321,RUA ANGOLA,2
1322,RUA RIO INDAIA,2
1323,RUA PEDESTRE,2
1324,RUA FREI JABOATAO,2
1325,RUA ITAJAI,2
1326,RUA DA BELA VISTA,2
1327,RUA FLAVIO GUERRA,2
1328,RUA HELIO BRAND?O,2
1329,RUA MONSENHOR JO?O BARBALHO,2
1330,RUA DEPUTADO AFRANIO GODOY,2
1331,RUA ABATIA,2
1332,R DA REGENERAÃ?O,2
1333,AV MARIA IRENE,2
1334,RUA FENIZE,2
1335,RUA SINDICATO DOS BANCARIOS,2
1336,RUA DESEMBARGADOR RODOLFO AURELIANO,2
1337,RUA M?RIO CAMPELO,2
1338,RUA ANTÈNIO CARLOS,2
1339,RUA ZELIA,2
1340,INALDO BARTOLOMEU DE CARVALHO,2
1341,RUA BENFICA,2
1342,RUA JOAQUIM FERREIRA LIMA,2
1343,RUA HISTORIADOR FERNANDO PIO,2
1344,RUA CAIO PEREIRA,2
1345,RUA CARLOS ALBERTO BARBOSA,2
1346,RUA VISCONDE DE AZUARA,2
1347,RUA ARTUR CAMPELO,2
1348,ENGENHEIRO ANDRE DIAS DE ARRUDA FALCAO,2
1349,RUA INDUSTRIAL JOS? PAULO ALIMONDA,2
1350,RUA ALMENARA,2
1351,RUA GUARAJA,2
1352,MARIA JABOAT?O,2
1353,RUA CANDIDO MENDES,2
1354,AVENIDA MALACO,2
1355,RUA GUAPIARA,2
1356,ESTRADA VELHA,2
1357,RUA PLANURA,2
1358,RUA FRANCISCO BEZERRA MONTEIRO,2
1359,AVENIDA BAR?O BONITO,2
1360,RUA GENERAL COELHO CINTRA,2
1361,ESTRADA DO CURADO,2
1362,RUA CORBELIA,2
1363,RUA BELEM DE SAO FRANCISCO,2
1364,RUA NOVA CULTURA,2
1365,RUA ALEXANDRE BELL,2
1366,RUA DA CORDILHEIRA,2
1367,RUA MEN DE SA,2
1368,RUA HERCILIA DE MEDEIROS,2
1369,RUA SO NOS DOIS,2
1370,AV ANIBAL BENEVOLO,2
1371,RUA CUITE,2
1372,RUA CABROBO,2
1373,RUA TULIA FREIRE DE SOUZA,2
1374,RUA PEROBA,2
1375,RUA IBATEGUARA,2
1376,RUA RIOLANDIA,2
1377,RUA LOURENCO BEZERRA,2
1378,RUA ARMANDO PINA,2
1379,RUA CORREGO NOVO,2
1380,RUA FLOR DE MARIA,2
1381,RUA DOUTOR JO?O LACERDA,2
1382,RUA POTENGI,2
1383,RUA IGUATU - JACAREZINHO,2
1384,VISCONDE DE ALCANTARA,2
1385,SAO SEBASTIAO,2
1386,4? TRAVESSA BRUNO VELOSO,2
1387,RUA MONTESE,2
1388,RUA CONSELHEIRO PENA,2
1389,RUA REGENERACAO,2
1390,RUA CONFEDERAÃAO DO EQUADOR,2
1391,RUA FIGUEIRA DE MELO,2
1392,RUA MONTE ALEGRE,2
1393,RUA CRUZ E SOUZA,2
1394,RUA CABRALHA,2
1395,RUA LEMOS TORRES,2
1396,RUA DA VITËRIA,2
1397,RUA DOUTOR MARCOLINO GOMES CANDAU,2
1398,CORREGO JOAO FRANCISCO,2
1399,RUA ISIS DIAS,2
1400,RUA IRAKITAN,2
1401,RUA GRAVATA,2
1402,R ANA LUCIA,2
1403,RUA GENERAL ADAUTO GOMES BARBOSA,2
1404,RUA PANELAS,2
1405,SUBIDA DA BRASILEIRA,2
1406,RUA ENGENHO BARRO ALTO,2
1407,RUA DR JOAO ELISIO,2
1408,RUA SEBASTIAO DE ALENCASTRO SALAZAR,2
1409,RUA DA AROCA,2
1410,S?O PEDRO,2
1411,RUA GERONCIO FALCAO,2
1412,JOS? TRIGUEIRO,2
1413,RUA ALTO DO BONITO,2
1414,RUA JADIR BEZERRA,2
1415,AVENIDA CONDE DA BOA VISTA,2
1416,RUA CANTOR TIM MAIA,2
1417,RUA GOIANA,2
1418,2¬ SUBIDA ALTO DO CARROCEIRO,2
1419,RUA MARQUES DE QUELUZ,2
1420,RUA IBITIGUARA,2
1421,RUA FELIXLANDIA,2
1422,AV CONSELHEIRO ROSA E SILVA,2
1423,RUA DOM SEBASTIAO LEME,2
1424,RUA DOM JOSE LOPES,2
1425,RUA ROMEO WANDERLEY,2
1426,RUA PADRE BERNARDINO PESSOA,2
1427,RUA JORNALISTA MURILO GUEDES,2
1428,RUA EDUARDO ANTONIO,2
1429,RUA CANTOR TOM JOBIM,2
1430,RUA CANAL,2
1431,RUA FREI TEOFILO DE VIRGOLETTA,2
1432,BREJO DE AREIA,2
1433,RUA CARIJOS,2
1434,AV. M?RIO ?LVARES PEREIRA DE LIRA,2
1435,RUA CAPITAO JOSE NOGUEIRA COSTA,2
1436,RUA SANTOS DUMONT,2
1437,RUA MANOEL MOREIRA,2
1438,ENGENHO POETA,2
1439,TERCEIRA TRV DA RUA DOS PRAZERES,2
1440,RUA ESTUDANTE ARLINDO ALMEIDA FILHO,2
1441,RUA GUAÃU,2
1442,RUA ENGENHO ?GUA CLARA,2
1443,RUA GONÃALVES DIAS,2
1444,RUA LUIZ PEREIRA DE FARIAS,2
1445,EST DO CURADO,2
1446,QUINZE DE NOVEMBRO,2
1447,RUA DR GUIMARAES,2
